# Energy shift = 0.0
# Y-offset = 0.0006+-0.0022 AE = 8.993+-0.0878 Scale Factor = 0.3018+-0.0481 Alpha = 1.4523+-0.2115
# Y-offset = 0.0+-0.0713 AE = 12.5456+-0.0522 Scale Factor = 6.7934+-0.5653 Alpha = 1.3998+-0.1094
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2
15.110000	68.920000	4.487925	74.179030	10.501470	63.677560
15.140000	71.640000	3.469497	75.298088	10.576333	64.721755
15.170000	76.960000	3.689223	76.422158	10.651361	65.770797
15.200000	70.400000	2.633932	77.551205	10.726553	66.824652
15.230000	85.520000	8.399726	78.685197	10.801911	67.883286
15.260000	79.040000	6.088216	79.824100	10.877433	68.946667
15.290000	80.880000	4.969720	80.967883	10.953118	70.014765
15.320000	84.960000	4.475441	82.116514	11.028967	71.087547
15.350000	79.840000	2.557399	83.269961	11.104978	72.164983
15.380000	80.040000	2.820774	84.428196	11.181152	73.247043
15.410000	83.080000	3.271310	85.591187	11.257488	74.333698
15.440000	82.400000	4.493195	86.758905	11.333986	75.424919
15.470000	81.400000	2.682834	87.931321	11.410645	76.520676
15.500000	83.240000	2.771218	89.108407	11.487465	77.620942
15.530000	94.920000	10.755495	90.290135	11.564445	78.725689
15.560000	82.840000	5.328291	91.476476	11.641585	79.834891
15.590000	86.240000	6.150549	92.667405	11.718885	80.948520
15.620000	86.120000	3.367330	93.862894	11.796344	82.066550
15.650000	92.880000	3.179011	95.062916	11.873962	83.188955
15.680000	87.720000	2.485162	96.267447	11.951738	84.315709
15.710000	86.400000	2.183575	97.476461	12.029672	85.446789
15.740000	83.880000	2.507850	98.689932	12.107764	86.582168
15.770000	90.080000	3.794716	99.908935	12.187113	87.721822
15.800000	90.120000	2.797376	101.131245	12.265517	88.865728
15.830000	93.240000	3.254481	102.357938	12.344076	90.013862
15.860000	94.640000	2.799680	103.588993	12.422792	91.166201
15.890000	92.840000	3.160299	104.824385	12.501664	92.322721
15.920000	94.800000	2.136165	106.064091	12.580691	93.483400
15.950000	91.520000	2.677049	107.308089	12.659873	94.648216
15.980000	98.440000	3.984486	108.556357	12.739210	95.817147
